customer_id,customer_name,customer_email
C01,Customer_1,customer1@example.com
C02,Customer_2,customer2@example.com
C03,Customer_3,customer3@example.com
C04,Customer_4,customer4@example.com
C05,Customer_5,customer5@example.com
C06,Customer_6,customer6@example.com
C07,Customer_7,customer7@example.com
C08,Customer_8,customer8@example.com
C09,Customer_9,customer9@example.com
C10,Customer_10,customer10@example.com
C11,Customer_11,customer11@example.com
C12,Customer_12,customer12@example.com
C13,Customer_13,customer13@example.com
C14,Customer_14,customer14@example.com
C15,Customer_15,customer15@example.com
C16,Customer_16,customer16@example.com
C17,Customer_17,customer17@example.com
C18,Customer_18,customer18@example.com
C19,Customer_19,customer19@example.com
C20,Customer_20,customer20@example.com
C21,Customer_21,customer21@example.com
C22,Customer_22,customer22@example.com
C23,Customer_23,customer23@example.com
C24,Customer_24,customer24@example.com
C25,Customer_25,customer25@example.com
C26,Customer_26,customer26@example.com
C27,Customer_27,customer27@example.com
C28,Customer_28,customer28@example.com
C29,Customer_29,customer29@example.com
C30,Customer_30,customer30@example.com
